taxonID	identifier	datasetID	datasetName	acceptedNameUsageID	parentNameUsageID	taxonomicStatus	taxonRank	verbatimTaxonRank	scientificName	kingdom	phylum	class	order	superfamily	family	genericName	genus	subgenus	specificEpithet	infraspecificEpithet	scientificNameAuthorship	source	namePublishedIn	nameAccordingTo	modified	description	taxonConceptID	scientificNameID	references	isExtinct
54134232	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115237	NA	synonym	species	NA	Trichomanes ambiguum Mart. ex Kl.	Plantae	NA	NA	NA	NA	NA	Trichomanes	Polyphlebium	NA	ambiguum	NA	Mart. ex Kl.	NA	NA	NA	NA	NA	NA	ferns-2064-syn-2	http://www.catalogueoflife.org/col/details/species/id/de7c5f4603b06cb58fe4d2e380c0a2e3/synonym/1b612471a3d8bed2cc2348cbe6a0a6e9	NA
54134233	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115237	NA	synonym	species	NA	Trichomanes brasiliense Desv.	Plantae	NA	NA	NA	NA	NA	Trichomanes	Polyphlebium	NA	brasiliense	NA	Desv.	NA	NA	NA	NA	NA	NA	ferns-2064-syn-3	http://www.catalogueoflife.org/col/details/species/id/de7c5f4603b06cb58fe4d2e380c0a2e3/synonym/d7cd79a7ca56db012441a50e987db9c4	NA
54134234	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115237	NA	synonym	species	NA	Trichomanes cavifolium Müll. Hal.	Plantae	NA	NA	NA	NA	NA	Trichomanes	Polyphlebium	NA	cavifolium	NA	Müll. Hal.	NA	NA	NA	NA	NA	NA	ferns-2064-syn-4	http://www.catalogueoflife.org/col/details/species/id/de7c5f4603b06cb58fe4d2e380c0a2e3/synonym/ae63522505de4d36ed38dd12a13ea6fd	NA
54134235	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115237	NA	synonym	infraspecies	var.	Trichomanes diaphanum var. eximium (Kunze) Hieron.	Plantae	NA	NA	NA	NA	NA	Trichomanes	Polyphlebium	NA	diaphanum	eximium	(Kunze) Hieron.	NA	NA	NA	NA	NA	NA	ferns-2064-syn-5	http://www.catalogueoflife.org/col/details/species/id/de7c5f4603b06cb58fe4d2e380c0a2e3/synonym/50417befde8f1228e8e4515c07c223f4	NA
54134236	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115237	NA	ambiguous synonym	species	NA	Trichomanes emarginatum Presl	Plantae	NA	NA	NA	NA	NA	Trichomanes	Polyphlebium	NA	emarginatum	NA	Presl	NA	NA	NA	NA	NA	NA	ferns-2064-syn-6	http://www.catalogueoflife.org/col/details/species/id/de7c5f4603b06cb58fe4d2e380c0a2e3/synonym/c27f04092edbbe3032a39714ad342165	NA
54134237	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115237	NA	synonym	species	NA	Trichomanes eximium Kunze	Plantae	NA	NA	NA	NA	NA	Trichomanes	Polyphlebium	NA	eximium	NA	Kunze	NA	NA	NA	NA	NA	NA	ferns-2064-syn-7	http://www.catalogueoflife.org/col/details/species/id/de7c5f4603b06cb58fe4d2e380c0a2e3/synonym/bc30f3effc349d429e399c6f460224b2	NA
54134238	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115237	NA	synonym	species	NA	Trichomanes junceum H. Christ	Plantae	NA	NA	NA	NA	NA	Trichomanes	Polyphlebium	NA	junceum	NA	H. Christ	NA	NA	NA	NA	NA	NA	ferns-2064-syn-8	http://www.catalogueoflife.org/col/details/species/id/de7c5f4603b06cb58fe4d2e380c0a2e3/synonym/f49743faa1252739fee3c77412d409b8	NA
54134239	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115237	NA	synonym	species	NA	Trichomanes olivaceum Kunze	Plantae	NA	NA	NA	NA	NA	Trichomanes	Polyphlebium	NA	olivaceum	NA	Kunze	NA	NA	NA	NA	NA	NA	ferns-2064-syn-9	http://www.catalogueoflife.org/col/details/species/id/de7c5f4603b06cb58fe4d2e380c0a2e3/synonym/861e8536f321e9f844ae1b3af220cf59	NA
54134240	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115237	NA	ambiguous synonym	species	NA	Trichomanes pyxidiferum L.	Plantae	NA	NA	NA	NA	NA	Trichomanes	Polyphlebium	NA	pyxidiferum	NA	L.	NA	NA	NA	NA	NA	NA	ferns-2064-syn-10	http://www.catalogueoflife.org/col/details/species/id/de7c5f4603b06cb58fe4d2e380c0a2e3/synonym/667f49963d46dc9a19ba002a9508535a	NA
54134241	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115237	NA	synonym	infraspecies	var.	Trichomanes pyxidiferum var. brasiliense (Desv.) Luetzelb.	Plantae	NA	NA	NA	NA	NA	Trichomanes	Polyphlebium	NA	pyxidiferum	brasiliense	(Desv.) Luetzelb.	NA	NA	NA	NA	NA	NA	ferns-2064-syn-11	http://www.catalogueoflife.org/col/details/species/id/de7c5f4603b06cb58fe4d2e380c0a2e3/synonym/8360f9ca9bb7186def46b1f19b55964a	NA
